onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
36.212	n/a	18106	symbolSearch_start	92	n/a	n/a
39.134	n/a	19567	newPage	20	n/a	n/a
45.09	n/a	22545	trialResponse	14	0	0
47.84	n/a	23920	trialResponse	14	1	1
52.068	n/a	26034	trialResponse	14	0	0
58.452	n/a	29226	trialResponse	14	0	0
68.828	n/a	34414	trialResponse	14	0	0
72.46	n/a	36230	trialResponse	14	1	1
77.036	n/a	38518	trialResponse	14	0	0
84.98	n/a	42490	trialResponse	14	1	1
93.39	n/a	46695	trialResponse	14	0	0
103.14	n/a	51570	trialResponse	14	0	0
106.652	n/a	53326	trialResponse	14	0	0
109.468	n/a	54734	trialResponse	14	1	1
113.876	n/a	56938	trialResponse	14	0	0
116.86	n/a	58430	trialResponse	14	1	1
120.438	n/a	60219	trialResponse	14	1	1
122.342	n/a	61171	newPage	20	n/a	n/a
125.348	n/a	62674	trialResponse	14	1	1
128.644	n/a	64322	trialResponse	14	1	1
133.646	n/a	66823	trialResponse	14	0	0
136.06	n/a	68030	trialResponse	14	1	1
144.98	n/a	72490	trialResponse	14	0	0
150.852	n/a	75426	trialResponse	14	1	1
156.828	n/a	78414	trialResponse	14	0	0
162.806	n/a	81403	trialResponse	14	1	1
162.82	n/a	81410	newPage	20	n/a	n/a
165.531	n/a	82765.5	boundary	boundary	n/a	n/a
